Record_ID,Client_ID,Timestamp,Device_Type,Battery_Level,Signal_Strength_dBm,Latency_ms,Data_Volume_MB,Local_Model_Accuracy,Privacy_Budget_Used,User_Heart_Rate,Location_X,Location_Y
REC_00049,Client_056,2025-01-01 00:49:00,Wearable,38.76,-53.6,2.334,26.44,0.8276,2.7,81,0.2156,0.0438
REC_00050,Client_004,2025-01-01 00:50:00,AutonomousVehicle,23.61,-78.0,2.616,106.65,0.7822,2.84,53,0.1054,0.7264
REC_00051,Client_057,2025-01-01 00:51:00,Wearable,82.93,-69.8,8.203,4.9,0.8931,4.65,82,0.8227,0.3632
REC_00052,Client_037,2025-01-01 00:52:00,AutonomousVehicle,78.39,-59.2,6.391,7.74,0.7802,3.53,51,0.1708,0.6536
REC_00053,Client_039,2025-01-01 00:53:00,IndustrialController,53.6,-61.4,2.577,154.02,0.737,4.15,78,0.9937,0.5527
REC_00054,Client_079,2025-01-01 00:54:00,AutonomousVehicle,58.4,-54.8,9.473,41.85,0.9087,3.88,89,0.6127,0.9799
REC_00055,Client_085,2025-01-01 00:55:00,IndustrialController,15.36,-61.4,6.059,8.69,0.8028,3.1,74,0.3229,0.7127
REC_00056,Client_042,2025-01-01 00:56:00,IndustrialController,60.0,-47.4,1.777,148.94,0.8427,3.47,77,0.5048,0.9826
REC_00057,Client_091,2025-01-01 00:57:00,SmartSensor,81.22,-63.2,1.74,184.13,0.9296,2.85,72,0.9617,0.3002
REC_00058,Client_045,2025-01-01 00:58:00,AutonomousVehicle,61.64,-69.8,3.723,106.64,0.7339,1.84,93,0.6361,0.3317
REC_00059,Client_077,2025-01-01 00:59:00,SmartSensor,33.88,-70.6,1.445,13.63,0.8393,1.5,68,0.7536,0.5101
REC_00060,Client_051,2025-01-01 01:00:00,AutonomousVehicle,70.08,-52.6,10.226,16.32,0.8397,0.96,95,0.4937,0.4966
REC_00061,Client_090,2025-01-01 01:01:00,AutonomousVehicle,42.53,-59.7,3.802,26.13,0.9155,1.83,81,0.5327,0.5205
REC_00062,Client_087,2025-01-01 01:02:00,SmartSensor,59.04,-53.7,1.534,43.29,0.7853,2.93,82,0.9839,0.8521
REC_00063,Client_009,2025-01-01 01:03:00,SmartSensor,53.88,-53.9,8.613,242.56,0.8003,2.98,89,0.6045,0.7142
REC_00064,Client_094,2025-01-01 01:04:00,AutonomousVehicle,44.31,-80.2,0.312,156.33,0.8298,3.45,67,0.5419,0.1781
REC_00065,Client_080,2025-01-01 01:05:00,Wearable,74.7,-71.4,3.821,127.0,0.7418,4.41,81,0.8734,0.5868
REC_00066,Client_083,2025-01-01 01:06:00,IndustrialController,89.55,-70.2,3.049,4.68,0.8177,3.29,64,0.4492,0.1751
REC_00067,Client_012,2025-01-01 01:07:00,SmartSensor,10.47,-68.2,0.988,70.77,0.809,0.94,97,0.4736,0.4212
REC_00068,Client_083,2025-01-01 01:08:00,IndustrialController,94.03,-64.2,9.112,104.72,0.7493,0.23,77,0.7102,0.9095
REC_00069,Client_084,2025-01-01 01:09:00,Wearable,56.04,-50.0,2.225,20.27,0.9083,1.06,83,0.1598,0.0732
REC_00070,Client_030,2025-01-01 01:10:00,Wearable,73.07,-48.0,1.994,12.4,0.8078,4.55,102,0.1302,0.9633
REC_00071,Client_099,2025-01-01 01:11:00,Wearable,87.01,-62.9,5.781,69.0,0.7765,2.88,89,0.6183,0.2215
REC_00072,Client_002,2025-01-01 01:12:00,SmartSensor,52.04,-62.5,3.702,4.76,0.7326,4.26,76,0.1835,0.1755
REC_00073,Client_016,2025-01-01 01:13:00,Wearable,85.15,-67.1,1.58,141.39,0.7224,1.25,107,0.4355,0.4805
REC_00074,Client_048,2025-01-01 01:14:00,SmartSensor,25.99,-59.1,2.203,8.48,0.9401,3.58,63,0.8044,0.8946
REC_00075,Client_050,2025-01-01 01:15:00,Wearable,24.33,-58.0,8.311,30.58,0.9488,3.69,71,0.31,0.1876
REC_00076,Client_067,2025-01-01 01:16:00,IndustrialController,69.17,-51.9,2.776,203.14,0.9245,4.07,79,0.7423,0.0075
REC_00077,Client_001,2025-01-01 01:17:00,IndustrialController,88.31,-52.0,11.691,222.07,0.8147,2.72,68,0.3278,0.4189
REC_00078,Client_096,2025-01-01 01:18:00,AutonomousVehicle,90.32,-83.0,1.421,74.8,0.902,3.99,79,0.0398,0.5735
REC_00079,Client_005,2025-01-01 01:19:00,IndustrialController,67.94,-61.5,2.488,91.38,0.9086,4.68,66,0.0916,0.7472
REC_00080,Client_014,2025-01-01 01:20:00,AutonomousVehicle,57.29,-46.2,1.832,170.82,0.775,4.79,75,0.4339,0.056
REC_00081,Client_001,2025-01-01 01:21:00,IndustrialController,39.83,-64.4,5.468,131.16,0.8465,0.71,65,0.3179,0.522
REC_00082,Client_048,2025-01-01 01:22:00,SmartSensor,98.2,-48.6,12.066,48.66,0.9392,3.16,63,0.469,0.1668
REC_00083,Client_096,2025-01-01 01:23:00,IndustrialController,38.77,-63.1,3.508,66.33,0.77,0.66,88,0.5231,0.4301
REC_00084,Client_068,2025-01-01 01:24:00,AutonomousVehicle,76.98,-58.3,3.997,45.04,0.8657,4.62,84,0.9427,0.9694
REC_00085,Client_089,2025-01-01 01:25:00,AutonomousVehicle,57.88,-71.4,2.385,35.31,0.8656,4.78,66,0.4722,0.9798
REC_00086,Client_002,2025-01-01 01:26:00,Wearable,64.77,-71.0,0.898,106.36,0.8132,2.55,73,0.8575,0.9853
REC_00087,Client_048,2025-01-01 01:27:00,SmartSensor,45.41,-52.7,2.791,66.98,0.8226,4.8,94,0.8507,0.3633
REC_00088,Client_051,2025-01-01 01:28:00,IndustrialController,96.83,-51.2,4.642,98.24,0.8141,3.85,78,0.8874,0.7029
REC_00089,Client_048,2025-01-01 01:29:00,Wearable,61.45,-59.7,2.109,5.04,0.8303,3.51,67,0.5379,0.8727
REC_00090,Client_008,2025-01-01 01:30:00,IndustrialController,94.4,-72.3,0.999,42.96,0.7372,2.95,73,0.2862,0.5057
REC_00091,Client_069,2025-01-01 01:31:00,IndustrialController,10.68,-59.6,0.189,19.99,0.8987,2.09,75,0.7863,0.4745
REC_00092,Client_048,2025-01-01 01:32:00,Wearable,61.54,-47.4,9.458,36.02,0.8653,4.82,64,0.3227,0.7223
REC_00093,Client_073,2025-01-01 01:33:00,Wearable,74.55,-42.6,2.358,47.46,0.9435,1.07,79,0.8958,0.5028
REC_00094,Client_046,2025-01-01 01:34:00,Wearable,77.06,-63.2,4.493,93.46,0.7614,4.03,81,0.1048,0.5823
REC_00095,Client_016,2025-01-01 01:35:00,Wearable,91.45,-76.6,6.921,1.62,0.7365,1.9,86,0.6782,0.453
REC_00096,Client_058,2025-01-01 01:36:00,Wearable,10.4,-51.6,7.921,8.96,0.7856,3.79,75,0.4813,0.7315
REC_00097,Client_016,2025-01-01 01:37:00,IndustrialController,10.03,-62.8,2.061,127.2,0.8274,0.9,67,0.6071,0.8497
REC_00098,Client_088,2025-01-01 01:38:00,Wearable,52.5,-50.6,4.356,170.97,0.7513,1.93,80,0.1112,0.454
REC_00099,Client_055,2025-01-01 01:39:00,SmartSensor,12.64,-57.2,4.717,2.85,0.8152,4.74,80,0.9713,0.4911
REC_00100,Client_018,2025-01-01 01:40:00,AutonomousVehicle,97.71,-68.8,6.242,20.16,0.8607,2.83,66,0.7144,0.9227
REC_00101,Client_099,2025-01-01 01:41:00,Wearable,29.99,-59.4,4.678,0.49,0.714,2.51,83,0.2851,0.5631
REC_00102,Client_050,2025-01-01 01:42:00,Wearable,52.54,-46.9,4.0,70.83,0.8895,3.79,95,0.8895,0.4749
REC_00103,Client_008,2025-01-01 01:43:00,IndustrialController,15.5,-61.5,1.443,57.28,0.9349,2.14,92,0.4528,0.9708
REC_00104,Client_057,2025-01-01 01:44:00,Wearable,56.98,-70.3,5.368,41.6,0.7671,2.52,57,0.1861,0.0664
REC_00105,Client_027,2025-01-01 01:45:00,Wearable,44.2,-75.9,3.252,58.83,0.8941,2.85,89,0.4306,0.623
REC_00106,Client_074,2025-01-01 01:46:00,Wearable,14.02,-67.7,8.679,38.59,0.8045,4.95,75,0.3193,0.0256
REC_00107,Client_085,2025-01-01 01:47:00,IndustrialController,40.16,-64.1,5.398,13.65,0.8661,4.05,68,0.7084,0.4489
REC_00108,Client_099,2025-01-01 01:48:00,Wearable,45.23,-51.8,0.494,70.19,0.8858,0.3,41,0.0213,0.3243
REC_00109,Client_052,2025-01-01 01:49:00,AutonomousVehicle,99.09,-71.2,1.35,76.46,0.7737,3.94,82,0.8802,0.4346
REC_00110,Client_051,2025-01-01 01:50:00,IndustrialController,28.71,-44.5,2.399,96.28,0.8968,2.56,84,0.4323,0.903
REC_00111,Client_076,2025-01-01 01:51:00,AutonomousVehicle,59.03,-73.4,3.183,154.04,0.7263,1.23,69,0.1129,0.5092
REC_00112,Client_012,2025-01-01 01:52:00,IndustrialController,98.86,-36.7,13.024,68.83,0.9467,4.28,64,0.7679,0.5839
REC_00113,Client_050,2025-01-01 01:53:00,Wearable,81.28,-42.7,5.845,2.8,0.7843,1.43,71,0.9883,0.3295
REC_00114,Client_054,2025-01-01 01:54:00,AutonomousVehicle,99.4,-58.6,1.837,1.05,0.756,1.67,83,0.9027,0.9852
REC_00115,Client_011,2025-01-01 01:55:00,IndustrialController,97.15,-76.5,5.962,67.33,0.7347,0.41,90,0.1647,0.9748
REC_00116,Client_039,2025-01-01 01:56:00,SmartSensor,54.06,-60.6,3.861,2.88,0.903,4.89,64,0.2166,0.8717
REC_00117,Client_086,2025-01-01 01:57:00,Wearable,72.67,-63.9,6.004,18.99,0.8465,4.0,69,0.9877,0.7081
REC_00118,Client_091,2025-01-01 01:58:00,IndustrialController,19.94,-72.7,2.584,7.32,0.9379,0.83,66,0.2027,0.428
REC_00119,Client_011,2025-01-01 01:59:00,SmartSensor,49.7,-57.1,13.808,173.53,0.8619,2.5,73,0.3017,0.1266
REC_00120,Client_011,2025-01-01 02:00:00,IndustrialController,82.81,-68.2,9.426,19.02,0.7851,1.75,69,0.6228,0.9091
REC_00121,Client_020,2025-01-01 02:01:00,SmartSensor,55.48,-67.1,5.247,2.84,0.9091,0.26,66,0.2914,0.5339
REC_00122,Client_088,2025-01-01 02:02:00,Wearable,73.24,-62.0,2.34,149.4,0.7703,4.64,92,0.3814,0.5618
REC_00123,Client_012,2025-01-01 02:03:00,AutonomousVehicle,77.12,-65.7,5.998,46.92,0.7727,4.21,53,0.7413,0.1025
REC_00124,Client_066,2025-01-01 02:04:00,SmartSensor,32.81,-39.2,0.901,1.84,0.7071,4.94,61,0.5933,0.7926
REC_00125,Client_011,2025-01-01 02:05:00,IndustrialController,88.81,-65.4,9.895,89.6,0.763,1.29,73,0.8101,0.5523
REC_00126,Client_057,2025-01-01 02:06:00,Wearable,51.38,-55.6,8.485,8.27,0.7654,3.53,82,0.7755,0.2584
REC_00127,Client_031,2025-01-01 02:07:00,SmartSensor,28.92,-58.5,4.822,81.08,0.7744,0.68,87,0.7993,0.1718
REC_00128,Client_082,2025-01-01 02:08:00,IndustrialController,87.89,-56.5,1.488,46.16,0.7922,2.21,72,0.1778,0.614
REC_00129,Client_027,2025-01-01 02:09:00,IndustrialController,47.6,-55.7,2.57,9.75,0.8442,4.25,81,0.2569,0.8639
REC_00130,Client_067,2025-01-01 02:10:00,IndustrialController,77.53,-51.2,0.361,69.84,0.7541,0.14,52,0.1826,0.5251
REC_00131,Client_018,2025-01-01 02:11:00,SmartSensor,59.32,-57.3,2.867,30.3,0.8592,2.46,64,0.1226,0.8607
REC_00132,Client_066,2025-01-01 02:12:00,SmartSensor,44.37,-57.8,1.363,50.82,0.7333,2.23,65,0.8503,0.1873
REC_00133,Client_083,2025-01-01 02:13:00,SmartSensor,82.89,-59.4,0.522,101.82,0.9327,3.49,86,0.0038,0.5534
REC_00134,Client_012,2025-01-01 02:14:00,AutonomousVehicle,62.6,-61.4,2.334,15.08,0.7065,1.27,79,0.6275,0.4411
REC_00135,Client_083,2025-01-01 02:15:00,SmartSensor,45.15,-69.1,2.507,22.78,0.927,0.95,74,0.8729,0.323
REC_00136,Client_052,2025-01-01 02:16:00,SmartSensor,19.86,-60.6,1.063,295.21,0.8368,3.29,75,0.1675,0.1001
REC_00137,Client_011,2025-01-01 02:17:00,SmartSensor,90.59,-57.6,4.218,35.48,0.8775,3.24,70,0.9316,0.2062
REC_00138,Client_048,2025-01-01 02:18:00,AutonomousVehicle,13.19,-56.0,6.684,40.88,0.7746,3.78,76,0.9575,0.8883
REC_00139,Client_012,2025-01-01 02:19:00,SmartSensor,87.69,-58.2,4.402,16.8,0.7434,1.31,75,0.5808,0.3622
REC_00140,Client_070,2025-01-01 02:20:00,IndustrialController,42.4,-62.3,3.182,26.9,0.9368,0.18,68,0.6671,0.858
REC_00141,Client_070,2025-01-01 02:21:00,SmartSensor,67.54,-60.6,3.389,34.81,0.8103,4.4,67,0.1866,0.8141
REC_00142,Client_011,2025-01-01 02:22:00,IndustrialController,93.0,-65.5,2.696,14.95,0.8201,1.11,75,0.9841,0.3049
REC_00143,Client_051,2025-01-01 02:23:00,IndustrialController,23.65,-56.9,2.315,13.6,0.9464,2.15,64,0.7395,0.4782
REC_00144,Client_085,2025-01-01 02:24:00,IndustrialController,61.03,-62.2,4.337,45.87,0.784,2.4,82,0.5162,0.4533
REC_00145,Client_094,2025-01-01 02:25:00,AutonomousVehicle,78.8,-58.2,4.51,10.15,0.725,1.02,67,0.501,0.897
REC_00146,Client_052,2025-01-01 02:26:00,AutonomousVehicle,78.18,-50.0,3.41,40.31,0.8467,2.65,54,0.618,0.615
REC_00147,Client_096,2025-01-01 02:27:00,AutonomousVehicle,57.31,-67.1,2.384,61.25,0.8387,4.58,72,0.1862,0.4375
REC_00148,Client_048,2025-01-01 02:28:00,SmartSensor,66.23,-54.0,1.467,11.05,0.8933,1.43,84,0.597,0.5194
REC_00149,Client_039,2025-01-01 02:29:00,IndustrialController,78.18,-59.7,0.72,68.5,0.9388,2.65,83,0.0699,0.8415
REC_00150,Client_090,2025-01-01 02:30:00,AutonomousVehicle,85.69,-39.8,1.469,22.29,0.7769,1.61,63,0.6048,0.3078
REC_00151,Client_052,2025-01-01 02:31:00,AutonomousVehicle,78.56,-62.2,2.367,244.67,0.8804,4.91,66,0.5747,0.416
REC_00152,Client_043,2025-01-01 02:32:00,SmartSensor,41.86,-53.0,2.556,193.34,0.8086,1.18,83,0.3576,0.1305
REC_00153,Client_052,2025-01-01 02:33:00,AutonomousVehicle,99.71,-59.8,15.804,80.12,0.8959,0.64,78,0.0903,0.568
REC_00154,Client_083,2025-01-01 02:34:00,SmartSensor,49.11,-73.9,6.215,20.98,0.7411,0.8,68,0.5501,0.9698
REC_00155,Client_081,2025-01-01 02:35:00,Wearable,12.2,-65.2,4.355,138.4,0.8252,1.9,61,0.4375,0.3442
REC_00156,Client_044,2025-01-01 02:36:00,AutonomousVehicle,42.64,-51.2,5.255,335.4,0.7193,2.81,80,0.3124,0.9408
REC_00157,Client_033,2025-01-01 02:37:00,Wearable,21.5,-64.3,13.612,31.02,0.8403,3.37,55,0.428,0.8045
REC_00158,Client_047,2025-01-01 02:38:00,SmartSensor,20.93,-82.2,1.874,47.67,0.7422,2.86,47,0.0609,0.7924
REC_00159,Client_062,2025-01-01 02:39:00,IndustrialController,35.34,-60.3,10.213,0.3,0.94,4.54,89,0.0852,0.7425
REC_00160,Client_029,2025-01-01 02:40:00,AutonomousVehicle,14.8,-70.9,0.201,2.23,0.8386,1.87,70,0.1443,0.7599
REC_00161,Client_077,2025-01-01 02:41:00,SmartSensor,71.97,-58.7,2.83,34.72,0.8323,3.59,73,0.5534,0.3371
REC_00162,Client_051,2025-01-01 02:42:00,IndustrialController,16.66,-44.5,1.285,46.99,0.9431,1.41,77,0.2831,0.8323
REC_00163,Client_035,2025-01-01 02:43:00,IndustrialController,28.3,-52.3,0.665,18.73,0.8246,3.44,83,0.2351,0.9737
REC_00164,Client_011,2025-01-01 02:44:00,Wearable,18.36,-44.6,8.473,5.22,0.8692,4.64,68,0.6305,0.1044
REC_00165,Client_018,2025-01-01 02:45:00,SmartSensor,15.69,-65.6,2.794,76.23,0.7117,4.89,76,0.5968,0.1269
REC_00166,Client_097,2025-01-01 02:46:00,IndustrialController,34.1,-61.4,2.422,27.13,0.8771,3.68,76,0.3382,0.0116
REC_00167,Client_037,2025-01-01 02:47:00,AutonomousVehicle,61.47,-70.4,2.827,52.33,0.7261,4.72,73,0.9372,0.7021
REC_00168,Client_019,2025-01-01 02:48:00,AutonomousVehicle,96.82,-66.8,3.722,52.52,0.8951,3.43,58,0.3982,0.0725
REC_00169,Client_046,2025-01-01 02:49:00,Wearable,88.8,-69.3,1.645,39.58,0.9192,4.82,77,0.1895,0.5219
REC_00170,Client_035,2025-01-01 02:50:00,IndustrialController,88.83,-73.1,0.655,9.83,0.7789,4.5,80,0.8888,0.6878
REC_00171,Client_002,2025-01-01 02:51:00,SmartSensor,25.85,-46.3,3.203,47.87,0.9195,0.62,75,0.7021,0.5946
REC_00172,Client_040,2025-01-01 02:52:00,AutonomousVehicle,33.84,-80.9,3.747,19.44,0.8207,2.42,68,0.7489,0.6073
REC_00173,Client_059,2025-01-01 02:53:00,IndustrialController,16.88,-46.3,8.927,85.5,0.8429,1.8,79,0.849,0.9615
REC_00174,Client_062,2025-01-01 02:54:00,IndustrialController,80.06,-47.5,3.107,10.73,0.8027,0.23,82,0.7962,0.3013
REC_00175,Client_035,2025-01-01 02:55:00,Wearable,16.28,-55.0,3.561,17.21,0.8191,2.39,84,0.8478,0.6203
REC_00176,Client_049,2025-01-01 02:56:00,AutonomousVehicle,60.1,-71.1,1.37,29.02,0.9271,0.83,92,0.2277,0.6267
REC_00177,Client_096,2025-01-01 02:57:00,AutonomousVehicle,32.31,-75.8,1.376,67.36,0.9368,0.28,79,0.6158,0.2759
REC_00178,Client_034,2025-01-01 02:58:00,SmartSensor,31.91,-65.5,4.377,63.78,0.8115,2.28,80,0.6757,0.3029
REC_00179,Client_030,2025-01-01 02:59:00,AutonomousVehicle,99.17,-53.7,5.698,20.56,0.8286,1.24,66,0.2927,0.7408
REC_00180,Client_018,2025-01-01 03:00:00,SmartSensor,78.11,-60.0,7.028,35.74,0.729,4.68,58,0.9943,0.3147
REC_00181,Client_049,2025-01-01 03:01:00,AutonomousVehicle,85.32,-70.4,4.192,13.34,0.7814,4.08,85,0.8073,0.232
REC_00182,Client_071,2025-01-01 03:02:00,Wearable,61.48,-48.5,1.637,73.56,0.8283,4.79,88,0.9146,0.9836
REC_00183,Client_025,2025-01-01 03:03:00,AutonomousVehicle,88.39,-43.2,0.746,10.95,0.7506,4.42,89,0.1521,0.0928
REC_00184,Client_066,2025-01-01 03:04:00,SmartSensor,68.09,-62.3,1.261,85.56,0.8441,3.67,68,0.0377,0.3128
REC_00185,Client_001,2025-01-01 03:05:00,SmartSensor,95.16,-58.9,4.183,138.12,0.8713,3.03,69,0.0286,0.8407
REC_00186,Client_046,2025-01-01 03:06:00,Wearable,35.32,-75.1,0.843,239.07,0.8625,0.42,60,0.8667,0.2028
REC_00187,Client_081,2025-01-01 03:07:00,AutonomousVehicle,63.58,-64.1,1.299,97.23,0.8106,1.4,54,0.5464,0.2572
REC_00188,Client_041,2025-01-01 03:08:00,AutonomousVehicle,72.11,-54.9,1.815,12.53,0.8923,3.58,72,0.3077,0.1622
REC_00189,Client_050,2025-01-01 03:09:00,Wearable,45.36,-56.5,4.931,26.94,0.7799,2.07,90,0.8056,0.5853
REC_00190,Client_025,2025-01-01 03:10:00,AutonomousVehicle,89.17,-65.1,8.047,4.65,0.8173,1.69,71,0.6441,0.0027
REC_00191,Client_073,2025-01-01 03:11:00,AutonomousVehicle,98.18,-62.7,3.457,8.99,0.7675,0.61,95,0.6191,0.8757
REC_00192,Client_002,2025-01-01 03:12:00,SmartSensor,54.44,-64.5,3.981,2.55,0.8509,0.44,77,0.7976,0.3754
REC_00193,Client_090,2025-01-01 03:13:00,AutonomousVehicle,45.16,-62.8,3.171,51.23,0.8102,1.13,68,0.4692,0.5013
REC_00194,Client_025,2025-01-01 03:14:00,AutonomousVehicle,52.47,-55.8,2.849,38.09,0.7543,4.19,75,0.1618,0.2487
REC_00195,Client_088,2025-01-01 03:15:00,Wearable,86.75,-79.7,4.601,124.45,0.777,3.35,86,0.9176,0.042
REC_00196,Client_035,2025-01-01 03:16:00,Wearable,68.09,-60.7,2.868,31.09,0.7699,1.77,86,0.8653,0.9623
REC_00197,Client_072,2025-01-01 03:17:00,IndustrialController,14.03,-56.5,9.768,51.4,0.9277,0.4,83,0.2486,0.8807
REC_00198,Client_029,2025-01-01 03:18:00,SmartSensor,58.8,-65.7,3.812,25.67,0.8305,1.02,55,0.3289,0.2763
